#Server,IP-Name,IP
shprop3crwlb01,WLB-BCT,10.89.73.99
shprop3crwlb01,WLB-CMP,10.89.73.117
shprop3crwlb01,WLB-GLB,10.89.73.125
shprop3crwlb01,WLB-HRZ,10.89.73.133
shprop3crwlb01,WLB-MEG,10.89.73.141
shprop3crwlb01,WLB-MOH,10.89.73.149
shprop3crwlb01,WLB-NRZ,10.89.73.157
shprop3crwlb01,WLB-NWH,10.89.73.165
shprop3crwlb01,WLB-QRH,10.89.73.173
shprop3crwlb01,WLB-SMD,10.89.73.181
shprop3crwlb01,WLB-VIZ,10.89.73.189
shprop3crwlb02,WLB-BCT,10.89.73.100
shprop3crwlb02,WLB-CMP,10.89.73.118
shprop3crwlb02,WLB-GLB,10.89.73.126
shprop3crwlb02,WLB-HRZ,10.89.73.134
shprop3crwlb02,WLB-MEG,10.89.73.142
shprop3crwlb02,WLB-MOH,10.89.73.150
shprop3crwlb02,WLB-NRZ,10.89.73.158
shprop3crwlb02,WLB-NWH,10.89.73.166
shprop3crwlb02,WLB-QRH,10.89.73.174
shprop3crwlb02,WLB-SMD,10.89.73.182
shprop3crwlb02,WLB-VIZ,10.89.73.190
shprop3crwlb03,WLB-BCT,10.89.73.101
shprop3crwlb03,WLB-CMP,10.89.73.119
shprop3crwlb03,WLB-GLB,10.89.73.127
shprop3crwlb03,WLB-HRZ,10.89.73.135
shprop3crwlb03,WLB-MEG,10.89.73.143
shprop3crwlb03,WLB-MOH,10.89.73.151
shprop3crwlb03,WLB-NRZ,10.89.73.159
shprop3crwlb03,WLB-NWH,10.89.73.167
shprop3crwlb03,WLB-QRH,10.89.73.175
shprop3crwlb03,WLB-SMD,10.89.73.183
shprop3crwlb03,WLB-VIZ,10.89.73.191
shprop3crwlb04,WLB-BCT,10.89.73.102
shprop3crwlb04,WLB-CMP,10.89.73.120
shprop3crwlb04,WLB-GLB,10.89.73.128
shprop3crwlb04,WLB-HRZ,10.89.73.136
shprop3crwlb04,WLB-MEG,10.89.73.144
shprop3crwlb04,WLB-MOH,10.89.73.152
shprop3crwlb04,WLB-NRZ,10.89.73.160
shprop3crwlb04,WLB-NWH,10.89.73.168
shprop3crwlb04,WLB-QRH,10.89.73.176
shprop3crwlb04,WLB-SMD,10.89.73.184
shprop3crwlb04,WLB-VIZ,10.89.73.192
shprop3crwlb05,WLB-BCT,10.89.73.103
shprop3crwlb05,WLB-CMP,10.89.73.121
shprop3crwlb05,WLB-GLB,10.89.73.129
shprop3crwlb05,WLB-HRZ,10.89.73.137
shprop3crwlb05,WLB-MEG,10.89.73.145
shprop3crwlb05,WLB-MOH,10.89.73.153
shprop3crwlb05,WLB-NRZ,10.89.73.161
shprop3crwlb05,WLB-NWH,10.89.73.169
shprop3crwlb05,WLB-QRH,10.89.73.177
shprop3crwlb05,WLB-SMD,10.89.73.185
shprop3crwlb05,WLB-VIZ,10.89.73.193
shprop3crwlb06,WLB-BCT,10.89.73.104
shprop3crwlb06,WLB-CMP,10.89.73.122
shprop3crwlb06,WLB-GLB,10.89.73.130
shprop3crwlb06,WLB-HRZ,10.89.73.138
shprop3crwlb06,WLB-MEG,10.89.73.146
shprop3crwlb06,WLB-MOH,10.89.73.154
shprop3crwlb06,WLB-NRZ,10.89.73.162
shprop3crwlb06,WLB-NWH,10.89.73.170
shprop3crwlb06,WLB-QRH,10.89.73.178
shprop3crwlb06,WLB-SMD,10.89.73.186
shprop3crwlb06,WLB-VIZ,10.89.73.194
shprop3crwlb07,WLB-BCT,10.89.73.105
shprop3crwlb07,WLB-CMP,10.89.73.123
shprop3crwlb07,WLB-GLB,10.89.73.131
shprop3crwlb07,WLB-HRZ,10.89.73.139
shprop3crwlb07,WLB-MEG,10.89.73.147
shprop3crwlb07,WLB-MOH,10.89.73.155
shprop3crwlb07,WLB-NRZ,10.89.73.163
shprop3crwlb07,WLB-NWH,10.89.73.171
shprop3crwlb07,WLB-QRH,10.89.73.179
shprop3crwlb07,WLB-SMD,10.89.73.187
shprop3crwlb07,WLB-VIZ,10.89.73.195
shprop3crwlb08,WLB-BCT,10.89.73.106
shprop3crwlb08,WLB-CMP,10.89.73.124
shprop3crwlb08,WLB-GLB,10.89.73.132
shprop3crwlb08,WLB-HRZ,10.89.73.140
shprop3crwlb08,WLB-MEG,10.89.73.148
shprop3crwlb08,WLB-MOH,10.89.73.156
shprop3crwlb08,WLB-NRZ,10.89.73.164
shprop3crwlb08,WLB-NWH,10.89.73.172
shprop3crwlb08,WLB-QRH,10.89.73.180
shprop3crwlb08,WLB-SMD,10.89.73.188
shprop3crwlb08,WLB-VIZ,10.89.73.196